Plain_text,Cipher_text
"hate how y'all try to call me ""fake gay"" no.. trust &amp; believe vagina is wonderful to me, but so is your father. *hint hint* idiots",c083508b29d8224ad4587cc657ee74f8bbbfa5720527fad619a383e6e07066504f48c835ce6130b6a78c8bbb901dabbb89eab9072b9b61718be1e2ac55dc5a5aa918fa6ddf2266e67ffd84c121034261033533ef7d57edc1bf10526ef58015b740af1d732fda76d487ea4db601538183c903b95b04d4f9a52cef38cbe4e194b04f0c3ab1913885409ea09acf584eba40
yeah but some people don't like when you like dessert... they just want you to like the dinner,7d09dbc177516fe9de008cf717befcdaceda7d4a269870478c664f2c4846a281ce967a5ee6f2e229959160044b6501e58e9d0bf56337664703fea1e702ab38b522bf00b5103058962948293c9be18608d408e5f94f1ac6aea0778531b29ae395
"but just plain dinner is lame.. i like to have something sweet sometimes to. they get to eat what they want, why i can't?",638f84fdd40c498fc4e47f6ec8e2c0507807131696a7ce029c68b0f54437529b4893a01c06d262dc969fed9501835d7a9965d5699487ccdfb22ab359984b13518a8373a47e6dce971a2fc3f5e0457f6a04b7c006d0659fb2420616a3371d2e356807105ca388af5ad4cbc2ac9f364a046a1612b14806b64867da10edd5d8054e
"whatever, i'm gonna uncork this bottle and have me a glass of wine..",0297a588334ecc14f35913c596419f56a79b961fa1c5572095af12c397e05fb2b1593edc24743d9d16999a8c0d8a39eb0bbafbc6f1015c4315dee3ccf3b3ea9804352ece60091adeb117b76dce1cff72
just one?,c63b1a8b3a94496b7ca24887437ced1c
naw...already on my 2nd glass lol,379ea596f2d7756bc7ff486917931ab21662795022b7592defdfa5c2f5d366a2c023ae063fb13d364718c2b341fd861d
yeah!  that sounds like the tracy in my timeline.,cf7cd69a12913efffacb0ccb44258c1b63d95a9beae2a5c9fd5bd79ecc5b7a5002918ff287727982cfb21f95ee8acff0411c1eca73ac1c1d0968677e71647c21
"you are a crazy man trump, you speak without thinking what you are going to say. and your supporters are very racist.",bfe091ef83dd92b5c80b708414ee8c12f2e2c059fedb39e120358c919360be5d5806164d2ec81606fb4d68140aa0bac0a851f770bcc708abaa09c95ed1ee407f6b3260ff23c30b007b464ab836fbe0cb718e6beefed816cfa2c27cc31adf1bec8801116e7b438a747423e95117c9eea7b35e3145f39f348775bd0c68192173f4
dont you all het tired calling half of the country racist?,0361d9fcaa907a1970049cb4f060433fc32f3b0bb957be9ae602d4e21448f533f6776c78623cae31e29dd227960a786fadcf61a18cbeb716b7a207ed07bb5e0a
are you finish for the night?,1c33eabd25a7a7b3298243d86054b6eddc83d741efd8d06fd16b433cf40aef8d
yes. good night.,f74a0f6fa7ccd8b464716ff0f580001ba02bedf4780fe92de7f7fb76e124f97d
bad lighting fit selfies &gt;,7990832fcfef7e5a3518b7d0564ed6e10596fe323c6df7f0bbf29c364a8b6a9b
my selfies got bad lighting? lol,91c920b2b8f31e73b221518d4a31e893325b59f827a3b137722f327a7611eab8e8f41a72f024e64d999940351dc30569
nah my lighting on my phone was all the way down lmao,f0560aca7362fe4fe2961ad7eee11141b840004fe306d249bbe2220550813000cd3fa4eba3d519f5e67141c4a8dfb5aa8f70c0e38a95c093ef54bf15851c0655
rightttttt lmfao,5eadf2b941030a977fb290b1a0b1912d651cfe601168cbc6e577c0ad626d6016
you work thursday ?,4b6a82af152e8157b2d9241d4b86890fb3ce9e15341a6aa48d0305ef430e520d
yeah i do,31e3a3460d7623731ac4e34d22216d84
awesome! i was thinking about spending some time there to work on my schedule. think there would be room for me?,6c1f39301d19ee833602b4398bc546ecef6d57fb22c9b33a460f1a229cf68d6d5deec07c1be8150d3dfbca78580c6fb6e053fb70d2d69230fcf7928bda87fc292a95521614cefe869cc10778dde75e1bc9e455a248a9ced36f50aa790c14095e3656861b9cf325340fcedf7c53f78ee7f598d4ec87bc9c3259bb9c55f96a1a2d
yeah there should be room. usually the desks behind where i sit.,e1cbb189ebf657609f6684aeec698c05bec8b39618208a8e51004cef30911c3f2c211578fea8b13e511c5183115d5f7a8bc9d0f8bacd7ef32dc58f62c88135c945b7f3708305d767ac06ae3e0145b574
jordan's fucking retarded,739c8ce051dc864fdb13d7ff142d660dab5e5f4203b28e926ca15205ed172b4b
i'll beat your ass,a6943ab746c03ae985a82e531d89c830d6ad0321547cb52930230d48c8817533
i'm waiting,f498cf1cd83b932b06380a66f0da9b19
i'm near the gym fight me pussy,0b680dac973e1b6883e71664d4f57b9d0827c66b2f68d66a945d091ff6a84092
happy birthday kid. read this in 8 hours,2a38aae9fc29ed17d2cacd145503b6f863f7ef06de671e31f6233dd6bca889863f6bc42f35c7731390747f0670b8eb28
alright kiddo. 8 hours.,8b754757e779254163e10e7de36ab82d2e45aa0e19efa435bd5e1debbb942507
okay great. now you can scream all the thank you you want. wait there's no cake... keep it. give me my happy birthday back,316352b5607b1841143aaa40e3fe752fe8e0424d0fdbeeaad388eb5bde9e5b7febf581a8ff7474a30d28cdec7659e760c676dcfd974ac67c0b68a00226e78762a27cc5a7e03f730e54349f3a97a7cef40450e03020b0c98d983b717228d40c4313c4109370fb3dc1683809323c82754755f8ea14a9a6b3a1ea1b11a97a279fca
i bought you a fudge brownie. it counts as cake.,a094bf0eaecaab4720525e3045082d4dd87cb28ca0a4dc7837620393bbe095162fc53eb3807d4ba4c6cfb7d35e189be2e262a89f0afee4e0e666bc4005b98e22
"i had the filthiest dream about one of my followers. filthy. like, i need to delete my account kind of filthy. it was that disgusting. s",c1d86293184a468572cd05241e2afbb93a824ad148dc503f6f1f8e97b79817604d7b4989e325e856dcbb833403275fd9dcce8a10f126161a3ad24194b5ad5b06bce8c0538938b96eedd5cc3089dcf432f7e3d248afeb0df8cad5b8022ed936bab09d2b150467c880a85d682f2a455614602f81715c153437f5c2136e6accd255f34ae990f7cf56e7ecc36c289f4b00d2
i see,95f6bd8020dbfb082dc2d7f8c3095080
"i think you are the bee's knees, but no. i can't even go along with this.",6c1f24594cb7def1bc954513b88d0b78abeb9f0dd6136a6bf76addb6a25d2ba70e46de3e5181dcbd4f4f8ce35b497bca966ae70af65b66a135c7e25e1cdfd50c3e889b5618239f26248aa17d2fab5a04
sooo.... did everyone on uapb campus tv's loose signal?,a0cefac544f12f4b2d8782536e31cd80529fc0acedfa7a89bd2789a58c6898447619f30746211d6cf34c583aef4e03dfab3df1fe3f11cd166a02a9a42acf69a7
girl yeah.,51fa9c6ebffb2bbbc5b1a58dd887817f
well idk but mine did,97bc5e834d0b7586a461f194d674a801c3c8bc538c3571f24904d9fa7b6cfa56
my ls at the jbj said she did too,af8f7a529a833779171cb35ec3878b8960bfa68ce21efc460f495e5b05909d41fdb971807a7edd677b0f20c41fe3ee73
will you be at the phi delts friday???,1f4c430e28758e79d05b561b13ffd47cff13dc3e40ea966c54600a94ded089c729ce823cbbce5caee366013f972f602a
is that their halloween party?  if you go i could maybe make an appearance . i miss you!,e5fc588e51de7099ca9fdd65cca84fe00f52cd8f3e4a3e0451066bb57ea45f509cde3110e8f1f2db498b6ca7ff951a5d12d2b8b439830d700050bde3d1b6560ca3a6a78f9651140b3607fa7148f3a348c68858e9f914b7af0ce76f843118024d
yes it is and yes i am!,d53c1502ef6f48483a9a0713faf5f17b0a535873e5102c48c6b330ee2054e098
i coach till 9:30 but i could drive up!,ef034d8cee102576245c53b5ad03a1f5fb37182f144053806983c05e0ffac413a7d5bc7fd0ba3a03de080e2c73148983
today my professor said that painting comes too easy to me i'm like .... john... jonathan.... i've been working my ass off,1ff12f4f02ba177d24f1361549185a3e8f971870e859582568306c5c85d178368b521d631292e6888c7f212c2c5869a3f2c337e265ca94676994f5ec94c6fec8caa3c347bd80db3f105164c00cd425bd6e0aeebe7ab4873bc0877d47306f2a678e5ae197db0acd92f774f82aa1c4217e47549b902e5f712c36e3d85ba1d5094b
what kind of..... what,a0bbd57e248c598b41e1ce5ebe2be3a3bb4200bf24040bb9bc00d00cf5c72d1b
honestly idk i mean i guess i get what he means like i procrastinate a lot n i should stop it was a roundabout way of saying it,26dfd7aabcecc623c373447e49dcfca2895c59169ee0acf93faf31468d4afe99bd0e4dfabce21e2f96e576654e10bf59cedcd1d8f60ad8c0841ebfe988f70966b65a28168f51e5e30a77c38cfa10cf6e895bb27128d2b1329bc8213072cf317b07bd1d6e45bad0e0cee2ac0ef876e0e6029eceb4144347755ff1d7d0aa856d84
ahh i got u,1a7434cb8e6065ec2ac7c16ef529ee13
i want a pair of human race sneakers where can i find them,8cd5140f175ac1fa885ac111995c4277e62b4e3bc34cae8e3378ebdc520f85ce258bf81911c7be859238757267dd2ce254209ef3fc5c35f1da760b665f19c4a8
you bout to pay a arm for them shits,03579aa250449055a8aa80f3a3ee95145cd1beb393bc55354e98eccf1ae826fa23c6885d6d14e806132e6ba7c5de16c9
same price as a pair of yeezy?,0483dc911ca1dfc936aadf6916e41f509456718fe1e8a638ee3acedb7ccce824
if you lucky,6c25e5a7d62f3e02282c0f55f4b57705
what's the most futuristic toilet?,b1afdaeda1dcbea5ad19df34b22516e0a7d0d4354e51a3a0d9c14d71df1ba015244480a8f14a15018a0180a36b2416c0
a sentient urinal that gives idle chit chat in a german accent while you pee. just spit balling here,2f4bdad61309101abb6322e9f06cc3045d087b89a805aed18884e71d873b35c0465e57857ea9be8b30ebb4a88dc97735ad0875762b6a3a18a212f83a479e3eba2b1c37b53725846153ad9adcee198a9171f782e9b548b815f41e9e3be0555102e9dd9392790d88c11dda0a2532a6c070
where is the speaker?,f83a0af0addd189abcc1f86e9c4e4eae316f03694565c5a563dde1eebec3ef1c
within the cistern for authentic gargling voice fx. it always thanks you when ur done. eventually it becomes ur only friend.,39d7a9e3a49f3ade208b7999ae20a1cdf7453150c52a7188abe2fc38915af7111db6389b105a9dd73fcdc3a58b4ad9e7e83a93140b82dc1e9d02abfe4f110d99604135c6d2cb54f241c3d347084c6975682732399799abb18f75c21fd2f137a6c505d60cccad2be59b2e25296f413c9f9306aa24b6ace2c8c625dc05d8c13b81
"lol my best friend at the time got cheated on, we wrote on the guys truck..he started chasing us, i tripped and broke my ankle #justmylu",089c22655616091a1cda0cc2eb35a6b1d6081db1a41efe635b96a589d3f2b7d82946e5f788536eeae841a7a4742efcfbe12aedd665b98c917379421e8e7ea468166e7ca62c49935771f2ba70f558f8c10fc0ee4140090100577bbc780d4f98f3a95fd7806e6d49935afa76448e89fabc31327de05908561e8d59a37df51beb95d2512a4621fcf74c88937e6276ac8b54
wtf,69f6e4d56f632f6f0035156e26f3339e
it was ridiculous  and i drove with my foot hanging out the window all fucked up,776275cc346abbae3fb963c2c58d9ca63dd5f00bbd820f501795c1b135f27f33f3cbb50da95cba19e1513c590a5978e1a78b4fcbb433a061803281ed0b8384423b48ff81870b50a4245e91b112206d28c4a2e9e8c2c3304bc78a1edabd723891
when was this i'm so confused,685800112a944ce4287e99b9d536c6e3923e42b90cc11717941bf75111ba583e
.,b24382a5b645d764422bd2b42f852385
i was thinking about that today and i got so sad,1aaff713a4214ea824171d71978840ad01a1d93a13da7b4929a31d8016ef14a01884a372fded175317e45f2b6612b78398e43f0807672e8f874c8f61dda8f367
uh oh guess you have to come see snl again this season !!!,d68a2415bbeb581e720b6aaa5e896e80810e8ca3d2533cb40c287ed9d0c5fc8dfa1f61fb1ec5042ef2ea988c208fd580340189104d4a038bc1ffd2e45248c744
i'm coming back in january!,c77fc35d968ac8bceac3f0a7b498dc3df045c5903cdf755cb4db19f61fe4d69d
anybody wanna borrow a 20 month baby girl old for the day? bc i'm not dealing w her.,924d910c651a64ddbf8204382b7baf28c77ae80484aeef3d37dc6529612cb9629b53d3534d66011076b34e1e12e9f7653ae2fe1540ec13c70e99f4351404ede673443df8918f9b6bf7e64fb42314dd21d4faead10a3b03201b86cb55fd58b5b2
dito don't do her like that,4b88c1d9e7755fa1d0a56c2f6a723741fab70b2de5041a4b72975b3ac1e9dff8
i been ready to fight her since 5am she wouldn't go back to sleep but she sleep now so i'll keep her,5a363f5912faec8570010fbe45378de4edce6b02459b7923e9ce130010f66b922ee165c4862feba6aba1f3295f65570a66bbe84c2bb8bb4968bdeeeb896957272a70c9971486c5e64006c06a2ba79406387abddf9678244ff3ccd11f5053a19fc73caa7a68170c1c622bc3a556f8e51e
dito that how i be with sofi when she gets up in the middle of the night and won't go back to sleep,ef35aa476210a1b704a19344b17aea84045ba57f5e9c85ca6ddc647b881da56d87ab77c6c81672555a19c932991948ac8997bf19c0aa1e193d63eea0780067bcbd3dfe07aaed805c9f0c24609b708ec880871e253c07e48cc3db54d5ee03eed2e83218371a0aa067b6c381f7a1f2ad77
"i don't always drink on tuesday nights/wednesday mornings, but when i do... it's when i just worked from 8am to 2am.",d32ce7beeb274e961d0980bccb3a727adabfe250f52c2e97ed8abde4f67a834235708dfa0eddfeeea122450fc7c6c8fe2ff80ea5f7f1325cf0449bbaddb7b9b39c5fb3570b71ce1c74b3331b174f4cd30a325dc41f4842387750b0f30bb58be756ad447afdbc6a75e19c1c381a9699cad5a71c61c58262cbd92e8f1a620199fd
"work in the nightlife, there's no restrictions lol",ae8c3475ee8eb927cd9bad8fd8eaeea3e86cdb0894036442f695c30134a2dc8ba0548be9990df0490294cc87643af3a6b8464c08bb3c7a54e46d8b3bb6a5c559
we usually work 8am-5pm. we just stayed an extra 9 hours tonight,94e3d5841ec2436c2e6b5e9e3a4c4dbbb3df74c6402b7b28fe370f682760c853e657589c7a262ab1e9f0ba9bc1607bbc65c018af34b917df2749c9f213d7236046820349ab9c8a9368ff3a38d61c800d
that sounds fucking terrible lol,3080a971e8c961036ccf53111ada9d734a5f6e05b0e81a6ac6d6065ada53f66a8125c2074c94e431aa6c1874e758b121
i heard that snippet,b37af8d4bab034ea3b704daed1795cb610ad48fbfcad6c49e7863eea2cd988d0
"unimpressed, huh?",8a80be7539a669afd5eae73a8012401676e47a96bb639d0545b35590e53b185e
to say the least,b504ca2bdfeab3dfdb56b40f131a447c64c32bac27fdc4a446146c82dcaaf79c
"ya girl just ain't got the juice, no more.",f9f2fcf5fe35c7b7d538324ef37e6b67f579f222887a69859d55aeb807c3ca9bfaa5e4477815cb19b8c143d4087e7781
ready to get in the deer stand already!,314b9dbe262ec477656c45ca8ce67565044d02b50f3ae708d507286f2463e65b0bc2f93b06d3471110163d9a3e167355
im going sunday just to see if anything comes out and to blast the hogs that have been on my shit,4bad1525efe91ab885e1b5cda26af385cb3d9165899db53079b4fa90e7406583faa5d5f0f267941806174f6ade1aef16c92f952281b995bc5c869925aa6d00a178c2703df2799b7f86ee7ede5250e70c0f03fe491cf30f74c01e3cf4676bfdd8e949c3d07ed2caba0f9fee29969da0e6
where's that lease at?,65312832471b4db7961320a8fa3548c8e0fea47309201e62db2c05e84eb96c54
livingston,b68bb9f8a07d758be61c2050b6783e00
stormzy is the realest,bf550f6ff21d5378d3856218b6054615b74c7da392c86cd58fc53f8440e60869
what you know about stormzy? lol,e8457d5db4dc28884ac96c060ce064b178350f89e60a944bfcafbc3fcc8b1471393ed97b51faa5db180dc479d8beffb8
ik hes the realest uk rapper,ea32d00a60f7c77339db43fd1af3f3f1a44432529faa9b600ed20956c50f8c0a
?,94793c4d29b84559ffdd8cd4fbd35c12
if somebody wants to play some of those ios 10 game things hmu,56934f2b09cc4b9784602b71d8d703590bac8b358651ed8ab4511e94bfd159d86c244d1d6f400ca767f33b3958043c4abe40e987e563b24ab3e727f160fd32b7
the what?,6777708f0ea9adf0ce1d2258689e4863
idk what they're called i just got ios 10 on my old phone and it's merely for whatever people have been playing?,a996361f5aac18f32bd62fe33c70f81e3b766947fdc13a58006bb747e30b1b8ed9813fd06126b62f76e201610149c8215409d52e5adbf0a8d074688f0c6cb5ee97ca9d3e5ffcddc3357f1f1fec25d1b33df9ccc78c3c4c37bbb7072f8f752be4ae85bd4518f783d6506810a3491298346e530b548ef6b4860290d14db38b1781
ios 10 has been confusing af i still don't understand it all,5337d79b4737576b6094138b21ae6216ce140b48e95f57027603da2ada98419391eb5b9878f1df1e10d797083f5c36f3b53bc876041e4ab23aa94868c32b9073
on medium.,6e0fc462f326a09fa7ad919f0727e966
