Plain_text,Key,Cipher_text
i killed a mouse today!,b'X\xddq\x8e\xeck_\xb8\xc5^\xa3\xfdo\xd8\x86\xc7',c313c8fc8f4d1bcd498680eabc27beda908d043cccdcdecddbfa08ee92a6623f
"yay, you great hunter. ive killed lots of lizards and bugs but never a mouse.","b""\xea2\x85\xbe\x1e~'h\x0b\x9c\x9b\x0e\xe3\xa7\xa8E""",388d8616783a35dd5ecd0bf13221c766f39669e1c8491e499f881a6c47a902f75c34784ff864731925f798f7721b0924bf7604eb52d0313625668933223ec16599e7fb38ace17f9504cbc74f7be4ecae
i don't know what the mouse was thinking??  why come into a house with 2 ferocious felines??,b'\xdde\x08\xb9\xa4\x88\xd2X\xf7\x99\\\xff\x15\x8c[2',0518975255a69d2fec02b10c1ad0b2b104650931270868c440dd21a8ca18444928c575dc8c6477c8d212479ae4753a703dfabcc46e294a8e662c358000e933b84ec9ce284c56c5d2066f3690055d7af920f096e41b2e3393b359db35ce707fb0
and then that mouse had the nerve to try to eat our kibble!  let this be a lesson fur all the other mousies!,b'\xd8\x89`C\x04\x13\xfb\xfe\x83\x02@\xe0\xfct\x82\xfe',ecc1928a94abf0211cf64bbccae47978d5f4c27aaf6645bdcb28cd5e341e9be6bb1ab72f22b22cbf972c9eaf71e5ce2508ba66d6f4899bdc7aba2f0ba0c66c2f403b21fe79bde054c9b443f2c1661720ca8eaa7aee8694ede5355599033b9bcef95a8b7360e2627a1d12f5d4847d91d0
what day are you coming to effie??,b'\xab\x87-\x11\xa6r\xac\xdf1i\xd3W<\x16Q\x88',e8b4c3f9beb5a7c5c233497f734e83ae45549b9fe8c55ca226dfb5f72dd08a570b420fb223c6903ecae4b3715415aec6
tomorrow,b'j\xdf\x0f!/\xec\x07\xfe\xaf3\xf4<H\x91l3',445fe57657cc56da7a0f992702cf91d4
im leaving today once i get off work,b'+\xa6\x05\xf1B\xaf\x18\x8e\xcc\xae1p\rZ\xf0\x8c',03abf89dc890ef47b276a2b8d4b27336995b9745d1499147da951a6df92fcace1b778db030e15a4cb40900216e279b05
make sure i have a bed and seat saved next to you!,b'\xa3\x14bYw\x8b\xc2`\xee\xd7\xad\xa7 \x8d\xdb\x91',0763775cc4e918cd6fc5aa98182e4f995e04222f039075792d92cf6c5569e3f91ac2c4f3fe8b85483b5f9b05068bfc2201b3c2af9e0746ef56c55e5aeabb7b51
avi  hey boo,b'\xe1]\x89U\xea\x07\xf5\x83\xd3\xe5\xff\xc3?a\xef\xdf',59717d32d779daf70b348e7ad8f53c21
wassup shorty.,"b'Z,\xcde\n\xce^\xfbGRTmZwn#'",57592d88611b357cf5d971bc3ed038de
you're beautiful ma !,b'\xffMn3s\x1a\xb4?\x94\xe4\x01\xed\xc7\xb3\xce\x19',a93af34bf56950772df020540043c374803f86b1939b87979380d0df2a3346dd
"appreciate that shorty, you too.",b'_z\xdc6\xcb\xb6*\xd4\\\x1a\x1a\xe5U\xf9\n\xc6',422433ef5c927c88ee136621874f14eef6e438cfe5a8078d4a0dfe2b345ab1cdb9c3382ed1ba5a515376411960e89ed1
does anyone have white spandex,b'2\x92\xe9L\xfc\xc9.\x9e\x85\x03-\xef\xaf\x9f;\xdc',fd81578a008cfa5200c78fd2fb27d55a4463a667191850ebf0c5dbc8f2649dca
yea,b'\xfa3}f\xaaZ\xc7\xa4\x1b\x1e\xacAc\xe1C\x98',162d61e923d1a9f63bf81ee78990421e
bet lemme borrow them,b'z\x8ec\x98\xda\x9a \x078\xcdbh\x96\xd0\xbcW',3fc2746a49d656306b01f3167179143de3e979b00e6f20bd771e71206e62bbe1
gotchu,b'H\t\x87\xdc}\xb6Z\x96\x9c|uw\xcd\xb6\x03\xd9',8a3ee4fecbf3f63f53600d94ada6eee7
what's going on fooly how u been doing,b'N\xf6\x95UL8\xc7\xcf\x9cq\xec\x93\xd4S\x19\xab',a17177ac8611a0968c2e1866d8d9a07ef0eb14b1f46e1b899878b6650129fd8459549131c773dd9442c1276ceb72b1c3
good  wby,b'=)\x84:+\xdf+5ma_\x8b\x1fk\xcb|',55982c2355e097a0d64f89f8e74be4ee
working other than that living life you kno how that goes,b'\x95\xcb\x99\xa4\x17\x8cU\xf4\xdf\x03\rH\xc2IT\xbf',8be75eaa5114ea684d646258593cfd7c895042210c1ce30ddf193ece744e45f22426bc3a3be4bb479975dcfff6a9f0746effd0ae0dc302c0e7a79794f488121f
that's wassup,b'\x8d\x93\x1f\x8d\xd1\x94g\xc9\xf9\xf40\x96\r6\x18\xc1',fe1fcb824a769c7ed7b17b5fb3bffbd5
my take on new rule - doesn't go far enough. cup drivers will still dominate nxs. but happy they are out for chase races #smallvictories,b'X\x94V\xd7\xf6\xbf\x97\r\xf7\xb9&\x98\x15(\xe9\xd2',9092a1f3af92e4dbc334fd85433b6beb528e326d265e71bee8a246734ec49fd8fc932a94a22b50cf5b43d20af1bdcb4d4bf4e36829ccd8bfb01f0cadacd9c943b001ae3d261362caa1e2c4c142cf8833c9d952d56dd1071e3836a740f7f10461c2f70bddc76ba93394e0a69248e25b93b8a75a02c25a0922eb3c548796e53c5e3748455748e9289ba2b42bd39ef799e5
and the dash for cash races too,b'\xb4\xe9\xc4\xbe\xf3\xb3\x99vP;#\x98\xd3\xce^\x12',05c07fe450c29acad8156eac40482eb762c3795145b26c786968ecce5bca1ba1
yes - although most (or some) of those are stand-alones anyway,b'\xc5\xba\xa6\xa8kzo\x19\xc2\x9a.\xa5F\xa5CF',0736fe53d45e892c9ce37e38eb44e5bc3d3e06683103642c0032cba27d2f1907da830bcf843e073a8ad6a812130d8263cee71a529ba851d4b85f17528cfa5e04
do you think this wouldve happened anyway if it was another driver stinkin it up like kyle has recently?,b'/\xa4\xcf\x8c\xd6\x8f]\x14\x80Z7S\xb1\x9bV\x98',de7429af41101bedfcfe6826be3e4422ffb99e1816ff7dda4fa0eb2e54e6cec7441d80efad90737c790aaf2ed67ac9a73a04b1054c22fc6a6c1984cd210b6b88896f2edfa97f92d4084de8b363c7a7d7fe124a352e0f42d5c8536f5f02b071420d607815a8e61b7da999122a29e0ecfe
"ernie lost a bit of my respect too, just when you think hey this white guy gets it.... nope",b'\xd2\xf9QD\xd6\xfc\x17\xfa\xe7%\t|\xc1M\xd3\xee',0f37035018f266784664be07ccf9d871ffca52c0f485702921efc1079b09abfc871289fcda33bf9c17740da5f5016f8c3930782d1dd55a75ce098736546cfb8ed66c6ce21b0a9f6c15e4e4dd524a5688dd73076ce26b27d4963fa5f0e7eef496
what did these niggas say,b'E\n\xcfwT\x18\xb5:\xbc\xa2\xed\xdaR\xd4\x85\x00',99fe2350e615a4e152df210efe9b77d898840c8224eacbc7b4bd8ed468878816
"kennys black, not for him. then ernie joins in ""i'd never, it's time to stand together we'll never be perfect so don't kneel""",b'\x9a+\x90\xc8\xb2\x8cQZ[\x1a\xe4\xef\xa5\xcd\x8dO',e3be4c4f690095045f3449cd4ce39797811870fd7d6e8a2ac7708da7959c1d9ecbf604ebf31be9091694c1046df227dcb36b21afa86c106b0e146f0ecb59d14150b31976152d8ee7d51d6658a2ef0afae7c3571637238ccb34366da41862281b56d8b55767e0abe318b9a529282114e45493a80d1287c567d89bdf78d3dcb600
kenny's wife is white on top of that. u not gonna tell me u put a flag over the color of your skin.,b'v\xdbJ\x82\x93\x93%\xe9\xefB\x86\xda-\xbb\x94]',6f66f1007afba6d0d187010ea2e7c1b78fc42794d90c0a7e568351b14527f74037e3ef251983307f3468ee86fa21a0de2d25ff1119e30308e7c71f27a93a4cf7b2076702188d7975c9199724523143497b3e230e5c8da2f3eb5df9abd4991978b2f1ad2aedaa4a704e0d4c94819eb866
i'll be back cute in 2 weeks,b':\xa2;V\xb7\xc0\xfb\x84\x00\x06e\x0b\xa2\xbem\xf4',96a296ef3ee3ecc3a10d8a417e14e481218b684e16fed432e189f0819a14492d
u cute now,b'\xf4\x05\xcf\xb8\x94WO\xb2\xec~\xaa\xe6=\x94\x12\xd0',df72951caa09d8ad795b077578f5825d
on the with irs,b'\xa6\xaa\xecM\xbaep%\xd1\xdel\x90Wut\xf3',0501903f8da523986b8ae5d0da36ceba
any hot chicks wanna let me touch their but today?,b'\xf5/q<\xb1\xd8\t\x99PP\xa5\x07\xbbU_\x91',081c86103282444b6caf62a8507d8fb52f46535aef6e4fdd56da86455ee6c482db0d396487eebe1adf1682682198ef45226aa97bfada33beb823e82073f4c6ee
i got u,b'\xda+G\xdf\x11_}eb\xbc\x8a\xc1\xf1}#Y',01df0e96d4dd2a064c132e7bc1c192fa
i havent groped that ass in a while i need dat,b'\xd1\xa7\xe2\x085$\xba\xbe\x03\xd7\xfd9F7\xda!',aed381013f1d30abf49edafd953f0eae0c0fe8ea8b75a22b7c93daca9fb1e7b733fe9b2c45a6186ad733498c3753959f
lmfao,b'* \xda\x89\xc3O~@\xf2\xc2\xde\x9c\x9d\xa7\x1a6',067863734736165800f0dc9b432e2068
so much to do before leaving for d.c. ahhh,b'?\xd9\xd5\x9dwn+\xf3E\xc2\xb2\xac:c\x18\n',7aa27b83b3f96141fddb038895d326f6f4d3206d97456e6310640422546df3bfd7003b106881ccf9192d71505d96393a
i have stuff here,b'\xfc8E\x12&\x93\x86[\xb0?\x1fG\xb3p\xd1\x99',6e3f08df7fc33fd8852ed7aff0c5448939785b511a63783aac1f420c1c757e3c
???,b'\x96wp\xd8J\xcd\xea\xf8\x00\x95\x96\xcc(\x82mo',0b07a227e616c5553056b10a46645b2a
like if you forget to pack something,b'\xa1\xcbQ \x91\xee\xe6\xe7\xf7\xbf>\xac\xf80@9',1718fd99c9a9cf72b264b1f61627ba45de425d538b423a76c70e0c5b18ed3dd8da4c982daf6601f5263daac2279ee76c
"white girls singing about ""niggers"" stealing shouldn't have had to face any repercussions? .....",b'\xc4\x8a\xe3u\xd5\xafl\xe3)\xca\xeeUBG96',8f9685d6d2e0cd58dced3ad76cacb1d7aa04c3af9a15b62a04283610e9286c0b4aeacd075f78d84e1a89255e8a4cbfe2ad683723b330bb8b3d6fdf75f28873e15382e0917637c059cb997e658b72bd16dd00b2dac9d2b329e6dba8065f6d22d4bdd6c68c68794a3055ef93facedcf02f
nope bc evidently it was 1) a famous vine they repeated 2) there was no malicious intent 3) it was all freaking jokes,"b'\x0f\x15\xb68\xfc\xcb\x0e4WF,\x06\x9fM\xc6\xc5'",a7eab0cfd5de3529ec84957b1d516484a6be4b0f0c3dfd50af2b02e363d76bd0afe8a06c3c9a9e3404044f083cbffa7b5aaa29faeb8194b04fdf68dc473d0ac1e45303ba72dbaf4d5f2e7fdbf2d5a9e2f507ce452c95e731e00041ec3188db241c951bf772c89754311b2402651e0298b1c289001d307137fc614c71517b1212
they're not 5 year olds. them repeating what they heard isn't an excuse. it does not matter if there was malicious intent.,"b'\x13\xc5fb\x19""\xcd\xaa\x83\x93V\x02}\xe1=\xe3'",ba3b2fea74ae852ef2e5faa54707884952d28c6c1b762e456785b769e534296edd2594d4eb2a7844f2aa93e9bef5ac908250ab7fd74b1c3c084b224845579948a85647c5cabddf4aa33ea30ac15c785db3fda416adca6733c5d8d9581335ae265c13b5ef0d160f755435194b90f46ef44a099a20ba67e3345e0818755b802fc2
"of every race say that word all the time to their friends. there should've been no repercussions, if there had to be then","b""\x15\x92o\x13\x9avd\xec=+'G\x07\x8f\xa3A""",8794616ad74ede25898a7efca0f5d5618e4266095e60a1052bc025c89abfc86d73f0596cba0fa51dbab013a9250715553267e5baa15327202612d6de474908deaaf338eacc915189cfdb9e54d386adb12ce05c4323fabb6d8334d573b9f158a343fd47a2fcd2a77eb84ab82f5abfe140a26aaad97e77d952d2e4f910bc4184f3
okay so i know we've had our differences on pineapples on pizza in the past but there's something else that needs attention... eggnog,b'\xd8\xb6\xaa\xd4\xa1jL\xfex\xf5\x04K\x97\xcd\xdbB',d857c2e27282ddee2b2dfc6403ceedeb3082a45b9946ea8ec6363dd4d9f7f26f7e619e8f842a81ffdaafd94af2b43cb5e845b5d90e2fad43365baddef7960fb48553c93a668212bbef65d30bf452087b813ce3579475f65a3980fee509877555c86551e1193fa92ddcddd2980fce005a419f76f37f823ed11868ed64c6209c058d47944df6d21dcc1e2962ff1ef1f484
i fucks with coquito thoughhh. which is prob the same thing but who cares it sounds better lmao,b'-\x8f\xbd\x84Qrtq\xeaio\xf1\xb9\xac\xae\xcd',4574a6b6066bba58effcf250f1a097ed9dbad36fcb361bc100876b1ad7cf1f8f39ee8b507abca412daade2a96b511d0527e96150b5253adfd81261a145a4fa193986fd58c514af8124029836e58e90962ea2a6d64982846bfefeceff02957918
what in the tits is a coquito,b'\xac\xdf\x0fs\xc6\xb5\x93\xd2\x81\x04\xde\xe0v\xbc\xad\xac',442040ba5ecea7111bc2db364516af3570c02745366dc19b753498b3b1493277
puerto rican eggnog shit is f i r e,b'agK7\xb2\x95MU\xa6f\n\n\x9eu/\xfd',c5a7c1baf1bf668912e36b29091eee6afa17faf3891b5f0053f3eb52b0e47a974b364e49dd2ec90db6868e8cf9070893
just riding these ol dirt roads.,b'\xfc\xa0 \xf3\x84L\xda\xb4YNho\x0c\xd2\xc1\x7f',473f2f591091c689144afe2fea0d82bb30e4b1f6428e442090718131ee26d429996fa51a1b3655073b1e31bd10307250
bitch.,b'XQ\xf2\x9e;\x07\x95`[_i\x01\xac\xfbY\xff',43f3ba7b407cd52dadd063cd3dd85dc0
k babe.,b'%Oo\xa8\x10\x17dG\xc9\xb3\x82:I\xc7Cp',f32113a9a1b51181f5e52eb32094942b
where you at,b'b;\x06Z\xa3\x01\x078\xb8\xef\x000\xb6\xfe\xa5\xc2',687914d3435e7658dcb8384998484237
"hate how y'all try to call me ""fake gay"" no.. trust &amp; believe vagina is wonderful to me, but so is your father. *hint hint* idiots",b'V\x1e\xfb\x1b\xfd^\x02\x94\xf8>\xde\xb6\xa5\xaaGF',09110ee8709157ae6532e08be163e949b5f5d96b4f62586064c555d6379d16a49dfe56a688f5ee9828340b7c8046d416c434712df3a89b598cbee0c534a09c6667cb8cba3223b873ee7e8899d922921b0663404a5ef76c2d7be159d8150ee355a399202f45e010ad68ce4b5c37c76cf29fc4f2de1310c3c27bb00cb569ae4080231c7eae98840fed5b127c4c10eb73b0
yeah but some people don't like when you like dessert... they just want you to like the dinner,b'n\x82z\x104\x9b\xefd0\x9f\x051.\x8f\x93G',454fb50694677775a42b7f8449dbac26b98c63453ad8ef1f1bc0f6b106af24111f394c96468038a29b787da8816df329f8818cf4ebe8432bc1d01e9e91380335f4592bbb894203238eb395a7164d7508a90a9cf4042e3925f36e27950dc17e8c
"but just plain dinner is lame.. i like to have something sweet sometimes to. they get to eat what they want, why i can't?",b'J\xe6Vj\x85\xf0\xfb\xb2\x91s\x94\xc8\xd7\x8f\xdc\x86',11c568acc5c227f76e58002fcbe8f1dd1ff270a138e5808191341f9e3fa2639ac6ee5dd93a1ba6b20fc6edbeae514dbf8b5ea9bedd42101696c1668cf205167e7d9f52106f1542fb3673f698bfb2e17f1836c0f1e7215aab9ca2d8a6b702e5f5d26b8001e9a7eb91dfc130eba642e5636591aca2d99c473250910ebda3078a5f
"whatever, i'm gonna uncork this bottle and have me a glass of wine..",b'\x80\xca\xcf\xb7!*\x06\x1a\x87\xf6\xc8\x0f\xf9\xe523',7a4ae49477e87175b953df1733b3bfe4003fe6735dfe9fad78d1e6e75e54ddcef291daec6b1ea54f55ab5deeca9727595f3dca47d00b4ed4df397a58c37dcb80f2d7da24f2de9cbd59ac110a3ec5abd9
just one?,"b'""\x97zr\x08\xb8@\x8a\xa39\xe7\x04n\xc2vx'",06554bc3ac24eed142125c0ba8596e0d
naw...already on my 2nd glass lol,b'\xac\xf9\xbe\xc4\\\xdeJ\x9f\x7fs\xaci\n\xea\xc7D',9fb61496193f37b5bcf0df81570e81e9e89172d377ee6c99d880ef8dbd66e4f81252ae5e3be1372bf364f336b683899f
yeah!  that sounds like the tracy in my timeline.,b'\xae\xaf\xb5\xbf\x89\x89s\xc4\x99\xf3\xab\xfch\x89\xaf\x0e',cb92c0634a6272de3d1d5fb6339a1fddc54e1d02c91422dad6f76f69cbdd97e1a0711e7687c2ece127fe1e504f43775339fd10003af92787eca6cb3067e63e4a
"you are a crazy man trump, you speak without thinking what you are going to say. and your supporters are very racist.",b'\r\x17\xc0\xb2\xbe\xc5\xca\xb8:i/Cxt\x9e\n',50f342a73b68a3cdd9d6b4cfc6c6b7c5e62916c90c6063668e764d479eddb766dc375807985cad184a95b72fb243588be59f4617673c02b46d3c039e342c764617c1b4e332aa7f067bfd53facf9293d15180747bcaf09c6a389dedacc87e7f0ae2f17ffea65a45c8b92e9954a87ad12a78f16ca0c925977e93be1f4289ad24ad
dont you all het tired calling half of the country racist?,b'\xae\rG\x08\xab\x9fJ\xee\xfc\xe6\n\xcff\xd6\x1d\x9f',1bb6e78d2183b2310522d2224c892aac5556def3dd56dffb51d0913d35173425f0e967da5f1aa0fac40e2f2fea0667f03248d2c0fccaab930107fe885925f463
are you finish for the night?,b'e\xf2H-\xd3\x03a\xb1\x8bz\xb0\x8d6~\xa7\x99',63a853374b046874d456dcd7bbb2c166cdfc169bf40c18da2386f7ae0413d5f9
yes. good night.,b'\xc2qG\xc230V\xbb\x00\xcf\xfba\x9d\xf6\x89c',5813dda94e580b6a9f766a1a85cd366853bd082cd845eb2ff1a1566417304bde
bad lighting fit selfies &gt;,b'\xffY\x07<Y\x9dz\x14\xa4\xbb&;\x84S\xd4\xe8',fbeba4cb9ec292ae764f3136d9aa59c81c2feeba00ca9a50760169f0441bf32a
my selfies got bad lighting? lol,"b'\xd4`\x0fQ\x0fVN\x0bV""\xcf\xb5jV\xff\x89'",08c174c388d528aeae48cfe78c9c498b7a53cdf7dcef44620c12face7b80338357a892ca395c16ea848991de88d13a5f
nah my lighting on my phone was all the way down lmao,b'\xc9!UA\x15)C\x04\x8f\x86\x82[\xe4\xc69\xb9',b96179de0d8594ec580c4e4255c6b11b4e83a7bb3bd0c8cbdc88f7ad02bbc905d8ed0d97172dc7a95e112b7845eaba6da4e0ff2bbc04dacff2830feb79106bff
rightttttt lmfao,b'\xe2\x05\x13\xbe\x9b\xa6$pC\x1b\x98\x1e!I\xed\xe3',b6e0cec2a3d40a8afc0da3db703b8c6329a9700a602f73794793394a590565e3
you work thursday ?,b'O\x8cXW\xea\xbf\x8d\x95\xc4$\xd2i\xef\x88{\xe4',fa249cd0b40f6bfffdc46b6cd78bad27edb769c26af00f72ef7bcaabc4715f11
yeah i do,b'\x1f\xec@u\xb7\xf1%n\x14\x1a\x1e\xaa\x88\x1a_e',b564cfbffee223d0532706c657b067e9
awesome! i was thinking about spending some time there to work on my schedule. think there would be room for me?,b'\t\xfb\xcb\x0f\xb3\xa6zQ^\xb8G\xc9\xa9\x9b\xa8\xc0',8e84dfec673fc9a6bc8e11d13977200a61597140c03e46aaca3b4091b9490c1a4e15d13b1790c1e5c17458a105c302d908b466101e391e633d22ccf94617ea34738e8bc9d865010166c1a8d2f9fa4b4329ddcfe39d658d4bdf7b04a60b47f56b9b71571b1e7ab85406c96eeb685f52f3872d5af8e35f43ee754f6178880c5790
yeah there should be room. usually the desks behind where i sit.,b'\xd5qN\x86f\xc7\xb5a\x17?\x1eF}J\x15\xcb',c0ed8869a150f1fe0dd404597e5cca28b17503bee7293a9bc5b2979955105837dbeed711c62bdb3d5769f20642115cd8586220ce766c3a74df4b695ba0100e8b824e13c258f9cbb0c59aecf65f62aa0c
jordan's fucking retarded,b'uBr\xf6j\xc5V*\x88\xb3E\xf5`\xa15 ',de9ff74d098f3c08391917d2ce7d825e4b524c1a61746fe7d88a05c91e58db4d
i'll beat your ass,"b'\x997Z\x9f\xd8\x17\xb0O#""F\x98\x01|D\x04'",088d94c8db293c07bbe26fe43118d8321d410a68a27c72d61935647678b4518a
i'm waiting,b'Q\xbfb\xa54\xe5\xc5\x9e\x0c{\xa7A\xa3\x95K<',474da7788ae7c3f3d5de605eed54cc1a
i'm near the gym fight me pussy,b'\xd1\xdc\xb3\xa5.q\xab\x1fwL\x97M\xfai[\xdc',f43211774f8ba8a826bd38af861efdabe85089e0f38c4a58f1f97d931581b909
happy birthday kid. read this in 8 hours,b'\x1d\x01g\x95\xd2P9\x1e\xaf\x88!\xc9M\x14g\xec',de06c1eadbdae29a7e41788746ac0a9abb0664af3980b8cc5b90327e156cd061d1ec97d5b0c5a25afd3eee6276d1dea3
alright kiddo. 8 hours.,b'\xba\xb6o\x07\xc1\x99q7\nI\xb3\x01\xf6Q=\xaf',1137a86ca141959277fab43e5295987c8db0dd070106b6b72824da4a35fe63b4
okay great. now you can scream all the thank you you want. wait there's no cake... keep it. give me my happy birthday back,b'\xce\x99hd#\xe0\x1d~\xc6-3M\xeb\x12.f',4a1f3c27a5f582d9fdb4a958078a82e55bf1aabd824e204d9773f87cb02c31d3e4049cc78b75b7edc3f3a8eb3c169993addb9a4c6bcca7bc396fb0158930faca795313f3150a50f6e96658399f24935bbcf38f27a651f98aab43b913e22294bc15ba6f627f8c3d339ec81393570d7ae3a37f9b4e50ba7d6c249718a0d3aceaef
i bought you a fudge brownie. it counts as cake.,"b""r\xc9\xcd\xd7\xe5\x05\xce+\xb8Z\xdc\x9f\xea'u\x89""",a358bcdc3785ddbef244f0be0504fbae7deda2d67f68a1b527d140fb1a04a8e1d6a030fd2e39aa1e6d3da839ca7b23bef429f4347a76194354ab074965dcc06d
"i had the filthiest dream about one of my followers. filthy. like, i need to delete my account kind of filthy. it was that disgusting. s",b'[\\\xd6\x9b\x9e\xc7\xe3\xfb\x1d``\xdf\x89\xf9\t\xbd',9c3c5326f65ad598a8860a0f8984b08057c412927e616b222d96456e55c045c9be40275eba7fdf4596ac2cde1029fcf14743743596ef9c7e950406f84bb782a5f7deccc98eb8b53cb6cb2c81ae4720ec43349a26f4cfceefa4f7d93c24898de6b820463cf55399e967087e9350d69def69c7ba5bd630f8b6854d56707b041b212c41a2815453c3a1d76398e2a92a1fc5
i see,b'%~\xa8\xfbB\x8b\xf2d\xc8Ip\xfb\xd6\x83-\x17',1569d9776aa0ff6348848b05ac754f61
"i think you are the bee's knees, but no. i can't even go along with this.",b'K~)\xeb\xc4\x1e\xdc\x034\xd5\x17\x83<\xe7\xd2\xe4',be24e24b884f7c3d8a07e73d4bf65abec1a056515671661c516b7e14545d753ee78ca8032c311e2e458785449bb7126c764a02e6be6eac79d058517a8c892d4a403a46fe096539f8a16c1b9e1c17c59f
sooo.... did everyone on uapb campus tv's loose signal?,"b'\xf9vo\xdb""\xa4\x00\x1f}\x18\xc3\xbc\x10\x1d]k'",b88c5fe05ab819ccc31104ca8e73381ac99d80f1b57585a20d4988c205ff7e739307d3fa268a1802262294848ac4112168f41f9cf6018e773ed3e2e911552236
girl yeah.,b'd\xd9\x0c\x8dcV\xb8R\xcc\xc4rI\x00\xa3\x92\xa2',5a414614608e07d6ecb2ede793f83b95
well idk but mine did,b'\x9d\xfdl\xe5\xc1mx^\xdd)\x81*R\x8d\x9d\xe4',056de8b50f8dc4fd5906f12036f7c0d95d1575b86da76e6f75f055006d090557
my ls at the jbj said she did too,b'\xb2|\x15<Z[Y\xb3\xa64\xa5\xa5\xe82/\xdc',59b01979bcc743bb3e33de1c2b1210d3f9bd17a2dd91d4d4a5f861f399ad00e9face2d528b8fa7dd7596ff1bebd99f27
will you be at the phi delts friday???,b'\xf1\xd5\xa8W\xd8\xe8C\x9bz\xdeo\xf5Y\xe2\x92B',47c143a18ef564054aa7a5238002cd3a05cd79342cb33ad0bc891e3669ff93ebc88a8ec25ffb708b6cad76eb15030c97
is that their halloween party?  if you go i could maybe make an appearance . i miss you!,b'\xae}\xf9\x00\xef^A\t\xaa\x0c^\xb7\xed:\xb2P',5d4abf632ca12a52239b5d4dc6c2f957c903048f24ec4a426d798488bacce1e3a6f06a7a4977f696175072b3130d3afd3e11c4f3c335d8e103883132cb7c4aa9c9533f7a22f60b75f8e51c74ef0754a92078620cb701d9083ee0d91921ebd2e8
yes it is and yes i am!,b'\x1a\nm> MR8\x822\xa693\xcf\x0e\xaa',bd71342f9db605dd4c4178f0a39856cd4514438c7a6b40b035eea20f88246581
i coach till 9:30 but i could drive up!,b'z\xcc\xc2Y\x8f8\xfbT\xd1\t\xf4\x88.\xa55\x1f',f2a36532730422219911ae9c3d0f97a2fe87cc4aad45ba5fa0dd51854c0ecb20b8ae5cfd49b485fea75701ae30bbda34
